,In-House,Scikit-Learn,TensorFlow
,Target,Target,Target
1,77.68023852587322,77.6802385258732,77.67990112304688
2,34.180249686901995,34.18024968690204,34.18042755126953
3,70.4354526556518,70.43545265565174,70.43572235107422
4,1.9309271586871537,1.9309271586871868,1.9308220148086548
5,82.40400199402892,82.4040019940288,82.4037857055664
6,97.11441274557413,97.1144127455742,97.11448669433594
7,89.52154847242295,89.521548472423,89.52134704589844
8,60.87780660376643,60.87780660376652,60.8775634765625
9,98.70514395071113,98.70514395071129,98.70494842529297
10,3.061604624247021,3.061604624247094,3.0615978240966797
Bias,100.28047593476157,100.28047593476157,100.28016662597656
